"District__c","District_Id__c"
"Aurangabad","397.0"
"Ayodhya","646.0"
"Azamgarh","629.0"
"BBMP","294.0"
"Badaun","630.0"
"Bagalkot","270.0"
"Bageshwar","707.0"
"Baghpat","631.0"
"Bahraich","632.0"
"Baksa","46.0"
"Balaghat","338.0"
"Balangir","448.0"
"Balarampur","633.0"
"Balasore","447.0"
"Ballia","634.0"
"Balod","110.0"
"Baloda bazar","111.0"
"Balrampur","112.0"
"Banaskantha","159.0"
"Banda","635.0"
"Bandipore","223.0"
"Bangalore Rural","276.0"
"Bangalore Urban","265.0"
"Banka","83.0"
"Bankura","711.0"
"Banswara","519.0"
"Barabanki","636.0"
"Baramulla","225.0"
"Baran","516.0"
"Bareilly","637.0"
"Bargarh","472.0"
"Barmer","528.0"
"Barnala","483.0"
"Barpeta","47.0"
"Barwani","343.0"
"Basirhat HD (North 24 Parganas)","712.0"
"Bastar","113.0"
"Basti","638.0"
"Bathinda","493.0"
"Beed","384.0"
"Begusarai","98.0"
"Belgaum","264.0"
"Bellary","274.0"
"Bemetara","114.0"
"Betul","362.0"
"Bhadohi","687.0"
"Bhadradri Kothagudem","583.0"
"Adilabad","582.0"
"Agar","320.0"
"Agatti Island","796.0"
"Agra","622.0"
"Ahmedabad","154.0"
"Ahmedabad Corporation","770.0"
"Ahmednagar","391.0"
"Aizawl East","425.0"
"Aizawl West","426.0"
"Ajmer","507.0"
"Akola","364.0"
"Alappuzha","301.0"
"Aligarh","623.0"
"Alipurduar District","710.0"
"Alirajpur","357.0"
"Almora","704.0"
"Alwar","512.0"
"Ambala","193.0"
"Ambedkar Nagar","625.0"
"Amethi","626.0"
"Amravati","366.0"
"Amreli","174.0"
"Amritsar","485.0"
"Amroha","627.0"
"Anand","179.0"
"Anantapur","9.0"
"Anantnag","224.0"
"Angul","445.0"
"Anjaw","22.0"
"Anuppur","334.0"
"Aranthangi","779.0"
"Araria","74.0"
"Aravalli","158.0"
"Ariyalur","555.0"
"Arwal","78.0"
"Ashoknagar","354.0"
